q1,q2,q3,q4,q5,q6
8,8,convertibility,35,layered storage,black
3,2,heat/cool,10,layered storage,black
7,7,handle,20,handle,red
6,7,heat/cool,15,layered storage,green
6,6,heat/cool,25,handle,silver
8,7,convertibility,30,re-arrangeable,black
5,5,heat/cool,22,layered storage,red
10,10,re-arrangeable,40,handle,black
7,8,re-arrangeable,20,convertibility,silver
7,5,handle,20,handle,green
5,4,convertibility,15,layered storage,blue
6,8,heat/cool,19,handle,black
7,8,heat/cool,23,handle,black
6,7,layered storage,25,layered storage,silver
8,8,convertibility,38,converitibility,blue
8,8,re-arrangeable,25,re-arrangeable,red
4,4,layered storage,18,layered storage,black
5,6,heat/cool,20,layered storage,blue
7,6,convertibility,20,layered storage,red
7,7,convertibility,30,handle,blue
